kind,priority_rank,priority_group,id,title,status,severity_or_priority,classification,recommended_action,why
bug,B006 (110),queue_poison_quarantine,bug.2a66ce827c.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B007 (110),queue_poison_quarantine,bug.67f9968048.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B008 (110),queue_poison_quarantine,bug.7e0f249aa7.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B009 (110),queue_poison_quarantine,bug.9557bfd3bc.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B010 (110),queue_poison_quarantine,bug.6bd2c3bee7.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B011 (110),queue_poison_quarantine,bug.d48079a039.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B012 (110),queue_poison_quarantine,bug.3bab0a06e3.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B013 (110),queue_poison_quarantine,bug.4379d5d19c.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B014 (110),queue_poison_quarantine,bug.227b891bbf.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B015 (110),queue_poison_quarantine,bug.f2d2213feb.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B016 (110),queue_poison_quarantine,bug.044572c78f.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B017 (110),queue_poison_quarantine,bug.780c33a110.activity-truth.cockpit,Activity truth evidence drift requires explicit review,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,
bug,B018 (110),queue_poison_quarantine,bug.7ff24e26a4.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B019 (110),queue_poison_quarantine,bug.7ff24e26a4.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B020 (110),queue_poison_quarantine,bug.18b8f30517.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B021 (110),queue_poison_quarantine,bug.18b8f30517.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B022 (110),queue_poison_quarantine,bug.db79c7cf95.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B023 (110),queue_poison_quarantine,bug.db79c7cf95.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B024 (110),queue_poison_quarantine,bug.701142f92e.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B025 (110),queue_poison_quarantine,bug.701142f92e.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B026 (110),queue_poison_quarantine,bug.5f7f34b6e5.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B027 (110),queue_poison_quarantine,bug.5f7f34b6e5.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B028 (110),queue_poison_quarantine,bug.7c47901e45.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B029 (110),queue_poison_quarantine,bug.7c47901e45.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B030 (110),queue_poison_quarantine,bug.4402d457dd.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B031 (110),queue_poison_quarantine,bug.4402d457dd.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B032 (110),queue_poison_quarantine,bug.fba4f99a60.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B033 (110),queue_poison_quarantine,bug.fba4f99a60.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B034 (110),queue_poison_quarantine,bug.fc24c406c2.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B035 (110),queue_poison_quarantine,bug.fc24c406c2.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B036 (110),queue_poison_quarantine,bug.cf5203b26d.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B037 (110),queue_poison_quarantine,bug.cf5203b26d.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B038 (110),queue_poison_quarantine,bug.2bd43612d2.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B039 (110),queue_poison_quarantine,bug.2bd43612d2.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B040 (110),queue_poison_quarantine,bug.98a0019d7b.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B041 (110),queue_poison_quarantine,bug.98a0019d7b.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B042 (110),queue_poison_quarantine,bug.c131a81647.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B043 (110),queue_poison_quarantine,bug.c131a81647.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B044 (110),queue_poison_quarantine,bug.3a960d0db7.other.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B045 (110),queue_poison_quarantine,bug.3a960d0db7.governing.cockpit,Cockpit truth binding bug,OPEN,P2,queue_poison_quarantine,Quarantine/merge first: generated duplicate with vague title and no evidence context; harmful to future prioritizers.,not replay-ready
bug,B046 (115),verify_foundation_fix,BUG-2907B68C,Worker background-consumer loop dies with NameError: _evaluate_ready_specs not defined,FIX_PENDING_VERIFICATION,P2,verify_foundation_fix,Verify and close before new foundation work; pending rows distort outage state.,not replay-ready
bug,B047 (115),verify_foundation_fix,BUG-D2ED53B4,WorkflowMigrationError on praxis-api-server boot,FIX_PENDING_VERIFICATION,P2,verify_foundation_fix,Verify and close before new foundation work; pending rows distort outage state.,A2A lane: Foundation reliability and authority health; triage: blocks_v1; not replay-ready
bug,B048 (130),foundation_authority,BUG-F8C9F5B5,[hygiene-2026-04-24/db-authority-orphans] Data dictionary still exposes DB authority tables with no production runtime owner,OPEN,P2,foundation_authority,Fix early: these surfaces tell agents what is true; leaving them broken poisons every other decision.,A2A lane: A2A DB and CQRS kernel; triage: blocks_v1; not replay-ready
bug,B049 (130),foundation_authority,BUG-507AB442,operator_write commit succeeds without roadmap item readback,OPEN,P2,foundation_authority,Fix early: these surfaces tell agents what is true; leaving them broken poisons every other decision.,A2A lane: Foundation reliability and authority health; triage: candidate_fixed_pending_evidence; not replay-ready
bug,B050 (130),foundation_authority,BUG-91D41A89,praxis query routes readback questions to empty quality_views rollup,OPEN,P2,foundation_authority,Fix early: these surfaces tell agents what is true; leaving them broken poisons every other decision.,A2A lane: Foundation reliability and authority health; triage: blocks_v1; not replay-ready
bug,B051 (130),foundation_authority,BUG-17601F93,"praxis workflow query ""is the workflow runtime healthy"" returns overall=healthy while worker force-fails every run",OPEN,P2,foundation_authority,Fix early: these surfaces tell agents what is true; leaving them broken poisons every other decision.,A2A lane: Foundation reliability and authority health; triage: blocks_v1; not replay-ready
bug,B052 (130),foundation_authority,BUG-247C050D,roadmap tree view omits direct child roadmap items,OPEN,P2,foundation_authority,Fix early: these surfaces tell agents what is true; leaving them broken poisons every other decision.,A2A lane: Foundation reliability and authority health; triage: candidate_fixed_pending_evidence; not replay-ready
bug,B053 (135),workspace_runtime_boundary,BUG-9BB04947,"Database environment authority is split across shell bootstrap, runtime, surface resolvers, and tests",OPEN,P1,workspace_runtime_boundary,Fix after core foundation: wrong workspace or database authority makes all later validation suspect.,not replay-ready
bug,B054 (135),workspace_runtime_boundary,BUG-A5FE235C,Native cutover can leave workspace and database authority split across old mount and local runtime,OPEN,P1,workspace_runtime_boundary,Fix after core foundation: wrong workspace or database authority makes all later validation suspect.,not replay-ready
bug,B055 (135),workspace_runtime_boundary,BUG-90E70AA6,OrbStack migration can leave Docker authority unavailable with root-owned or corrupted VM data,OPEN,P1,workspace_runtime_boundary,Fix after core foundation: wrong workspace or database authority makes all later validation suspect.,not replay-ready
bug,B056 (135),workspace_runtime_boundary,BUG-46A6C7F2,"Workspace and scope boundary authority is spread across runtime, registry, adapters, shell wrappers, and tests",OPEN,P1,workspace_runtime_boundary,Fix after core foundation: wrong workspace or database authority makes all later validation suspect.,not replay-ready
bug,B057 (155),workspace_runtime_boundary,BUG-96F12329,Global praxis launcher can route outside the active workspace and hide repo-local fixes,OPEN,P2,workspace_runtime_boundary,Fix after core foundation: wrong workspace or database authority makes all later validation suspect.,not replay-ready
bug,B058 (205),verify_provider_catalog_fix,BUG-EBE27625,CQRS provider capability matrix is missing for effective provider job catalog,FIX_PENDING_VERIFICATION,P1,verify_provider_catalog_fix,Verify Group A provider-catalog fixes first; later provider work depends on this contract.,A2A lane: Agent registry and routing control plane; audit_group: A_provider_catalog_authority; triage: candidate_fixed_pending_evidence; not replay-ready
bug,B059 (205),verify_provider_catalog_fix,BUG-5444AA3C,Route explanation CQRS is missing for provider/model removal reasons,FIX_PENDING_VERIFICATION,P1,verify_provider_catalog_fix,Verify Group A provider-catalog fixes first; later provider work depends on this contract.,A2A lane: Agent registry and routing control plane; audit_group: A_provider_catalog_authority; triage: candidate_fixed_pending_evidence; not replay-ready
bug,B060 (205),verify_provider_catalog_fix,BUG-1B959922,Runtime profiles hardcode provider env vars and model allowlists outside effective catalog,FIX_PENDING_VERIFICATION,P1,verify_provider_catalog_fix,Verify Group A provider-catalog fixes first; later provider work depends on this contract.,A2A lane: Agent registry and routing control plane; audit_group: A_provider_catalog_authority; triage: candidate_fixed_pending_evidence; not replay-ready
bug,B061 (205),verify_provider_catalog_fix,BUG-D4CC68A9,provider_transport built-in defaults remain executable fallback authority,FIX_PENDING_VERIFICATION,P1,verify_provider_catalog_fix,Verify Group A provider-catalog fixes first; later provider work depends on this contract.,A2A lane: Agent registry and routing control plane; audit_group: A_provider_catalog_authority; triage: candidate_fixed_pending_evidence; not replay-ready
bug,B062 (210),provider_routing_credentials,BUG-724759AE,Circuit breaker authority unavailable skips provider preflight,OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",A2A lane: Agent registry and routing control plane; audit_group: B_fail_closed_breakers; triage: blocks_v1; not replay-ready
bug,B063 (210),provider_routing_credentials,BUG-023252F7,Docker and sandbox setup install and mount provider CLIs outside catalog authority,OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",audit_group: C_credential_mechanical_capability; not replay-ready
bug,B064 (210),provider_routing_credentials,BUG-2D9A6DED,Manual circuit breaker override query failure erases force-open decisions,OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",A2A lane: Agent registry and routing control plane; audit_group: B_fail_closed_breakers; triage: blocks_v1; not replay-ready
bug,B065 (210),provider_routing_credentials,BUG-ADAEB359,Permission matrix hardcodes provider allowlists outside provider catalog,OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",A2A lane: Agent registry and routing control plane; audit_group: F_picker_helper_leaks; triage: blocks_v1; not replay-ready
bug,B066 (210),provider_routing_credentials,BUG-EEE3E88E,"Provider routing and admission authority is duplicated across registry, adapters, runtime profiles, and transport code",OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",A2A lane: Agent registry and routing control plane; triage: blocks_v1; not replay-ready
bug,B067 (210),provider_routing_credentials,BUG-5DFF1C68,Provider transport admission filter fail-opens when admissions table is missing,OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",A2A lane: Agent registry and routing control plane; audit_group: B_fail_closed_breakers; triage: blocks_v1; not replay-ready
bug,B068 (210),provider_routing_credentials,BUG-BF734C00,Refactor secrets OAuth and credential resolution spread across adapters registry runtime and memory,OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",A2A lane: Agent registry and routing control plane; triage: blocks_v1; not replay-ready
bug,B069 (210),provider_routing_credentials,BUG-70706DC9,Sandbox auth seeding hardcodes provider credential homes outside credential CQRS,OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",audit_group: C_credential_mechanical_capability; not replay-ready
bug,B070 (210),provider_routing_credentials,BUG-2337DB51,"Secret and credential resolution is spread across keychain, OAuth, env forwarding, provider transport, and execution backends",OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",A2A lane: Agent registry and routing control plane; triage: blocks_v1; not replay-ready
bug,B071 (210),provider_routing_credentials,BUG-F65A9A98,Together API decoder corruption in V4-Pro responses,OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",not replay-ready
bug,B072 (210),provider_routing_credentials,BUG-25829630,[architecture] Build per-sandbox per-provider credential authority to replace launch-context credential forwarding,OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",not replay-ready
bug,B073 (210),provider_routing_credentials,BUG-25224975,[hygiene-2026-04-22/secret-authority] OAuth refresh reads client credentials directly from process env,OPEN,P1,provider_routing_credentials,"Fix before broad execution work: provider capability must be catalog-backed, explainable, credential-aware, and fail-closed.",A2A lane: Agent registry and routing control plane; triage: blocks_v1; not replay-ready
