OPEN	P3	VERIFY	BUG-C3800386	Dashboard quick reference contains static provider circuit and model values		{"audit_group":"F_picker_helper_leaks","grouping_source":"codex_catalog_circuit_audit_2026-04-26","assignment_reason":"Static quick-reference cleanup is low-risk docs/readmodel hygiene.","suggested_sequence":4,"recommended_model_tier":"cheap_model_or_junior"}
FIXED	P2	WIRING	BUG-BE7F7129	[hygiene-2026-04-23/health-side-channel-files] Health probes still judge scheduler and receipts through local side-channel files		{"area":"runtime health probes","bug_class":"unwired / observability drift","next_steps":["List default preflight probes and separate real disk capacity checks from scheduler/receipt authority checks.","Move scheduler liveness to DB-backed runtime lifecycle evidence.","Remove repo-root scheduler_state.json and receipts from default health contracts."],"cluster_key":"hygiene-2026-04-23/health-side-channel-files","related_files":["Code&DBs/Workflow/runtime/health.py","Code&DBs/Workflow/registry/native_runtime_profile_sync.py","Code&DBs/Workflow/surfaces/api/rest.py"],"related_existing_bugs":["BUG-F9FD6AC3","BUG-BD093E3B","BUG-B357177E"],"review_20260424_scheduler_liveness":{"source":"praxis-review","finding":"The replacement should not infer scheduler liveness from schedule.fired because that event means due work fired, not that the scheduler ticked.","changed_files":["Code&DBs/Workflow/runtime/health.py","Code&DBs/Workflow/runtime/scheduler.py","Code&DBs/Workflow/runtime/cron_scheduler.py"],"validation_path":"py_compile for changed runtime files plus scheduler tick fake-DB smoke proving scheduler.tick is emitted with no due jobs.","genuine_improvement":"Emit and query scheduler.tick as the DB-backed liveness proof; leave schedule.fired as work-dispatch evidence."}}
OPEN	P2	RUNTIME	BUG-9CA0CB78	Repeated receipt failure: sandbox_error	auto-filed,failure_code:sandbox_error,job_label:execute_packet,failure_category:sandbox_error,provider:unknown,model:unknown,signature:64e3ab41db85b977736b	null
OPEN	P2	RUNTIME	BUG-EAD36E8A	Repeated receipt failure: route.unhealthy	auto-filed,failure_code:route.unhealthy,job_label:execute_packet,failure_category:rate_limit,provider:unknown,model:unknown,signature:229fde0a6af3e5741748	null
DEFERRED	P2	VERIFY	BUG-7ADE572D	[hygiene-2026-04-23/startup-observability] Registry sync failures are reduced to skipped names while surfaces still boot	cluster:hygiene-2026-04-23-startup-observability,startup,registry-sync,silent-fallback,observability-gap	{"evidence":["Code&DBs/Workflow/surfaces/_boot.py: sync_registries catches broad Exception for five registry syncs and appends only skipped names","Code&DBs/Workflow/surfaces/_subsystems_base.py: boot returns booted true with registry_sync skipped list","Code&DBs/Workflow/surfaces/api/rest.py: _boot_shared_subsystems and mount_capabilities log exceptions and continue in degraded mode","Code&DBs/Workflow/tests/unit/test_startup_wiring.py asserts warning text for skipped capability_catalog instead of durable degraded event/readback"],"bug_class":"observability or test drift bug","next_steps":["Persist startup registry sync failures as typed system events or startup_sync receipts with exception class and sync name","Expose registry_sync degraded causes in orient and health payloads","Make critical registry sync failures fail boot or require an explicit degraded admission policy","Add a regression that a failed capability_catalog sync is queryable after boot"],"cluster_key":"hygiene-2026-04-23-startup-observability","related_files":["Code&DBs/Workflow/surfaces/_boot.py:121","Code&DBs/Workflow/surfaces/_subsystems_base.py:129","Code&DBs/Workflow/surfaces/api/rest.py:435","Code&DBs/Workflow/tests/unit/test_startup_wiring.py:334"],"why_it_matters":"A startup registry failure should become queryable degraded state with exception detail, not just a warning plus booted true.","suspected_root_cause":"Startup registry sync was modeled as best-effort initialization, but the synced registries now carry authority; losing them is operationally meaningful and needs durable health/readback."}
OPEN	P2	VERIFY	BUG-D7801F5D	No existing workflow receipts for ui_atlas_refinement wave IDs before edit		null
OPEN	P2	RUNTIME	BUG-A3B51E8D	Repeated receipt failure: workflow.timeout	auto-filed,failure_code:workflow.timeout,job_label:wave6_blast_radius_threshold_halve,failure_category:timeout,provider:unknown,model:unknown,signature:5e651fdf9b7fd95288e0	null
DEFERRED	P2	ARCHITECTURE	BUG-B3315290	input-validation::rest::capability_endpoint — merged path+query+body without source-of-truth		{"stale":{"owner":"nate","reason":"Implemented in untracked workspace work on 2026-04-24; retained for audit closure","decided_at":"2026-04-26T07:48:52Z"},"fix_landed":"2026-04-24: surfaces/api/rest.py:_create_capability_endpoint now enforces precedence path > query > body. When command_class declares a 'body' field, the JSON body is passed through unflattened; otherwise body is merged first, then query overrides body, then path overrides everything. Bare arrays/scalars in body are rejected with 400. Locked by tests/unit/test_operation_catalog_mounting.py::test_capability_endpoint_path_params_cannot_be_shadowed_by_body. Architecture policy: architecture-policy::security::rest-capability-endpoint-precedence (operator_decision row recorded).","validation_command":"PYTHONPATH='Code&DBs/Workflow' python3 -m pytest --noconftest -q tests/unit/test_operation_catalog_mounting.py::test_capability_endpoint_path_params_cannot_be_shadowed_by_body","verifier_blocked_by":"verifier.job.python.pytest_file does not pass --noconftest; cannot auto-resolve until verifier accepts conftest opt-out or test sets up its own conftest path"}
OPEN	P2	RUNTIME	BUG-1980557E	Repeated receipt failure: workflow_submission.required_missing	auto-filed,failure_code:workflow_submission.required_missing,job_label:wave0_migration_capability_ledger,failure_category:infrastructure,provider:unknown,model:unknown,signature:76d3094c50449e0993cc	null
OPEN	P2	RUNTIME	BUG-7C5D8AE4	Repeated receipt failure: sandbox_error	auto-filed,failure_code:sandbox_error,job_label:wave0_integrated_design,failure_category:sandbox_error,provider:unknown,model:unknown,signature:04b2528b35c9dfa6a016	null
OPEN	P2	RUNTIME	BUG-39D02693	Repeated receipt failure: sandbox_error	auto-filed,failure_code:sandbox_error,job_label:wave0_integrated_design,failure_category:sandbox_error,provider:unknown,model:unknown,signature:90e94ba32cefea9e284b	null
OPEN	P2	OTHER	bug.2a66ce827c.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.67f9968048.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.7e0f249aa7.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.9557bfd3bc.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.6bd2c3bee7.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.d48079a039.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.3bab0a06e3.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.4379d5d19c.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.227b891bbf.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.f2d2213feb.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.044572c78f.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.780c33a110.activity-truth.cockpit	Activity truth evidence drift requires explicit review		null
OPEN	P2	OTHER	bug.7ff24e26a4.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.7ff24e26a4.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.18b8f30517.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.18b8f30517.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.db79c7cf95.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.db79c7cf95.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.701142f92e.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.701142f92e.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.5f7f34b6e5.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.5f7f34b6e5.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.7c47901e45.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.7c47901e45.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.4402d457dd.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.4402d457dd.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.fba4f99a60.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.fba4f99a60.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.fc24c406c2.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.fc24c406c2.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.cf5203b26d.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.cf5203b26d.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.2bd43612d2.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.2bd43612d2.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.98a0019d7b.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.98a0019d7b.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.c131a81647.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.c131a81647.governing.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.3a960d0db7.other.cockpit	Cockpit truth binding bug		null
OPEN	P2	OTHER	bug.3a960d0db7.governing.cockpit	Cockpit truth binding bug		null
